Stock_Code,Quarter_Date,Gross Profit,Cost Of Revenue,Total Revenue,Net Income,close_date,Price,Company Name,GICS Sector,GICS Sub Industry,Founded,State,Province
AMD,6/30/2023,2443000000,2916000000,5359000000,27000000,3/12/2024,202.7599945,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,6/30/2023,2443000000,2916000000,5359000000,27000000,3/13/2024,194.7899933,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,6/30/2023,2443000000,2916000000,5359000000,27000000,3/14/2024,187.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,6/30/2023,2443000000,2916000000,5359000000,27000000,3/15/2024,191.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,3/31/2023,2359000000,2994000000,5353000000,-139000000,3/11/2024,198.3899994,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,3/31/2023,2359000000,2994000000,5353000000,-139000000,3/12/2024,202.7599945,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,3/31/2023,2359000000,2994000000,5353000000,-139000000,3/13/2024,194.7899933,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,3/31/2023,2359000000,2994000000,5353000000,-139000000,3/14/2024,187.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,3/31/2023,2359000000,2994000000,5353000000,-139000000,3/15/2024,191.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2022,2403000000,3196000000,5599000000,21000000,3/11/2024,198.3899994,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2022,2403000000,3196000000,5599000000,21000000,3/12/2024,202.7599945,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2022,2403000000,3196000000,5599000000,21000000,3/13/2024,194.7899933,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2022,2403000000,3196000000,5599000000,21000000,3/14/2024,187.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AMD,12/31/2022,2403000000,3196000000,5599000000,21000000,3/15/2024,191.0599976,Advanced Micro Devices,Information Technology,Semiconductors,1969,California,Santa Clara
AES,12/31/2023,494000000,2474000000,2968000000,-94000000,3/11/2024,16.38999939,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,12/31/2023,494000000,2474000000,2968000000,-94000000,3/12/2024,15.93999958,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,12/31/2023,494000000,2474000000,2968000000,-94000000,3/13/2024,15.75,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,12/31/2023,494000000,2474000000,2968000000,-94000000,3/14/2024,15.02999973,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,12/31/2023,494000000,2474000000,2968000000,-94000000,3/15/2024,15.01000023,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,9/30/2023,918000000,2516000000,3434000000,231000000,3/11/2024,16.38999939,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,9/30/2023,918000000,2516000000,3434000000,231000000,3/12/2024,15.93999958,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
AES,9/30/2023,918000000,2516000000,3434000000,231000000,3/13/2024,15.75,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,Virginia,Arlington
